id,title,workstream,role,milestone,priority,state,review_tier,outcome,acceptance,negative_control,depends_on,proposed_owned_paths,proposed_integration_hooks,existing_packets_to_reconcile
VG-CORE-007,Route both modes through one command service,CORE,Core engineer,G2,P1,DRAFT,B,Adapt one representative expedition to the canonical service,"Local and remote replay resolve equivalent authoritative outcomes ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Remote mode cannot instantiate a second authoritative world,VG-GOV-001 ; VG-CORE-003 ; VG-CORE-004 ; VG-CORE-006,native/client/local_session.cpp ; native/src/networking.cpp ; native/tests/roadmap/core-007_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-CORE-008,Retire the superseded production path,CORE,Core engineer,G3,P1,DRAFT,B,Remove one migrated duplicate rules path after equivalence approval,"Build and journey evidence show no production caller remains ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A compatibility test may remain but cannot be reachable by release play,VG-GOV-001 ; VG-CORE-007 ; VG-QA-003,native/src/core.cpp ; native/include/verdigris/core.hpp ; native/tests/roadmap/core-008_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-MOVE-001,Preserve diagonal remote input,MOVE,Gameplay engineer,G1,P0,DRAFT,B,Correct direction encoding for the eight movement vectors,"All eight submitted directions produce the intended authoritative displacement ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Diagonal input must not collapse to the vertical component,VG-GOV-001 ; VG-GOV-004,native/client/remote_session.cpp ; native/tests/session_tests.cpp ; native/tests/roadmap/move-001_contract_test.cpp,native/client/remote_session.cpp ; native/client/main.cpp,
VG-MOVE-002,Make aim independent of motion,MOVE,Gameplay engineer,G1,P0,DRAFT,B,Preserve aim intent separately from locomotion input in the command adapter,"Moving west while aiming east yields the expected attack direction ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A movement update does not overwrite a held aim direction,VG-GOV-001 ; VG-CORE-002 ; VG-MOVE-001,native/client/remote_session.cpp ; native/client/local_session.cpp ; native/tests/roadmap/move-002_contract_test.cpp,native/client/remote_session.cpp ; native/client/main.cpp,
VG-MOVE-003,Normalize movement deterministically,MOVE,Gameplay engineer,G1,P0,DRAFT,B,Implement the approved direction-speed rule in the canonical simulation,"Cardinal and diagonal travel match the approved distance tolerance over equal ticks ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Packet count and render FPS do not change travel distance,VG-GOV-001 ; VG-CORE-003 ; VG-MOVE-001,native/client/input/normalize-movement-deterministically.hpp ; native/tests/roadmap/move-003_contract_test.cpp,native/client/remote_session.cpp ; native/client/main.cpp,
VG-MOVE-004,Sweep dash against collision,MOVE,Gameplay engineer,G2,P1,DRAFT,B,Resolve a dash segment against the canonical collision query,"A thin wall, corner and actor obstruction obey the approved dash rule ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Dash cannot tunnel through a wall at high movement speed,VG-GOV-001 ; VG-MOVE-003 ; VG-WORLD-002,native/client/input/sweep-dash-against-collision.hpp ; native/tests/roadmap/move-004_contract_test.cpp,native/client/remote_session.cpp ; native/client/main.cpp,
VG-MOVE-005,Suppress gameplay through focused panes,MOVE,Gameplay engineer,G1,P0,DRAFT,B,Integrate existing focus arbitration for inventory and modal input,"Click, drag and text-entry scenarios leave gameplay input suppressed as specified ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Closing a pane does not release a buffered attack into the world,VG-GOV-001 ; VG-GOV-004 ; VG-UI-001,native/client/main.cpp ; native/tests/roadmap/move-005_contract_test.cpp,native/client/remote_session.cpp ; native/client/main.cpp,TASK-0165
VG-MOVE-006,Persist remapped controls,MOVE,Gameplay engineer,G2,P1,DRAFT,B,Add versioned binding serialization and conflict feedback,"Remap, restart and restore defaults work without inaccessible actions ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Duplicate bindings and invalid device codes fail visibly,VG-GOV-001 ; VG-MOVE-005 ; VG-SHIP-001,native/client/input/persist-remapped-controls.hpp ; native/tests/roadmap/move-006_contract_test.cpp,native/client/remote_session.cpp ; native/client/main.cpp,
VG-MOVE-007,Bound action input buffering,MOVE,Gameplay engineer,G2,P1,DRAFT,B,Add one explicit bounded action buffer around recovery windows,"Early input executes once inside the approved window and expires outside it ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Stale buffered actions never fire after death or zone change,VG-GOV-001 ; VG-ACT-002 ; VG-MOVE-005,native/client/input/bound-action-input-buffering.hpp ; native/tests/roadmap/move-007_contract_test.cpp,native/client/remote_session.cpp ; native/client/main.cpp,
VG-MOVE-008,Measure native input response,MOVE,Gameplay engineer,G3,P1,DRAFT,B,Add timestamped input-to-present markers and a manual measurement protocol,"Report p50/p95 response on approved machines with method and uncertainty ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Headless command time alone is not labeled input-to-photon latency,VG-GOV-001 ; VG-MOVE-007 ; VG-PERF-001 ; VG-GPU-004,native/client/input/measure-native-input-response.hpp ; native/tests/roadmap/move-008_contract_test.cpp,native/client/remote_session.cpp ; native/client/main.cpp,
VG-ACT-001,Define one action specification,ACT,Combat engineer,G1,P0,DRAFT,B,"Author the schema for costs, phases, hit geometry and cancellation","One current melee action validates with no renderer-owned gameplay fields ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Undefined hit windows or negative costs fail validation,VG-GOV-001 ; VG-CORE-002 ; VG-GOV-007,native/systems/actions/define-one-action-specification.hpp ; native/tests/roadmap/act-001_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-ACT-002,Implement phased melee resolution,ACT,Combat engineer,G2,P1,DRAFT,B,"Run windup, active and recovery for the approved reference melee","Damage occurs only on the active phase at the correct tick ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Animation completion cannot independently award a hit,VG-GOV-001 ; VG-ACT-001 ; VG-CORE-003,native/systems/actions/implement-phased-melee-resolution.hpp ; native/tests/roadmap/act-002_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-ACT-003,Resolve directional hit geometry,ACT,Combat engineer,G2,P1,DRAFT,B,Implement one authoritative thrust or arc shape with stable target ordering,"Front, edge, rear and multiple-target fixtures match the authored shape ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A target behind a thrust cannot be hit by a presentation cone,VG-GOV-001 ; VG-ACT-002 ; VG-WORLD-002,native/systems/actions/resolve-directional-hit-geometry.hpp ; native/tests/roadmap/act-003_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-ACT-004,Implement one bounded projectile,ACT,Combat engineer,G2,P1,DRAFT,B,Resolve one approved projectile with swept collision and lifetime,"Target, wall, expiry and source attribution match a deterministic replay ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Projectile cannot hit twice after despawn or pass through thin cover,VG-GOV-001 ; VG-ACT-001 ; VG-WORLD-002 ; VG-CORE-006,native/systems/actions/implement-one-bounded-projectile.hpp ; native/tests/roadmap/act-004_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,TASK-0108
VG-ACT-005,Publish telegraph timing and geometry,ACT,Combat engineer,G2,P1,DRAFT,B,Replace a guessed telegraph duration with typed authoritative data,"Local and remote consumers render the same warning window and footprint ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Expired or cancelled attacks leave no damaging invisible telegraph,VG-GOV-001 ; VG-CORE-006 ; VG-ACT-002,native/systems/actions/publish-telegraph-timing-and-geometry.hpp ; native/tests/roadmap/act-005_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-ACT-006,Add one authoritative interrupt rule,ACT,Combat engineer,G2,P1,DRAFT,B,Implement the approved stagger or guard interruption for one action,"The interrupt cancels scheduled hits and resolves costs per contract ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A cancelled action cannot still damage on its original active tick,VG-GOV-001 ; VG-ACT-002 ; VG-STAT-006,native/systems/actions/add-one-authoritative-interrupt-rule.hpp ; native/tests/roadmap/act-006_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-ACT-007,Wire one complete attack presentation beat,ACT,Combat engineer,G3,P1,DRAFT,B,"Connect authoritative attack, impact and cancel events to animation and sound","Real native play shows anticipation, impact and aftermath on the correct events ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Removing the event bridge makes the integration test fail,VG-GOV-001 ; VG-ACT-005 ; VG-ART-003 ; VG-SOUND-003 ; VG-GPU-004,native/systems/actions/wire-one-complete-attack-presentation-beat.hpp ; native/tests/roadmap/act-007_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-ACT-008,Converge one local and remote combat journey,ACT,Combat engineer,G3,P1,DRAFT,B,"Prove melee, projectile, cancellation and death through both session modes","Same seeded intents yield the accepted outcomes with independent visual evidence ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A green local scenario cannot substitute for the networked journey,VG-GOV-001 ; VG-ACT-003 ; VG-ACT-004 ; VG-ACT-006 ; VG-CORE-007 ; VG-QA-003,native/systems/actions/converge-one-local-and-remote-combat-journey.hpp ; native/tests/roadmap/act-008_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-STAT-001,Specify modifier evaluation order,STAT,Systems engineer,G1,P0,DRAFT,B,"Freeze flat, additive, multiplicative, conversion and cap order","Worked examples and executable fixtures produce identical totals ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Modifier container iteration order cannot change the result,VG-GOV-001 ; VG-CORE-002 ; VG-GOV-003,native/systems/stats/specify-modifier-evaluation-order.hpp ; native/tests/roadmap/stat-001_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-STAT-002,Implement the reference damage breakdown,STAT,Systems engineer,G2,P1,DRAFT,B,Return named intermediate values from one shared damage resolver,"Character and monster fixtures use the same calculation and explain output ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Client-supplied final damage is ignored or rejected,VG-GOV-001 ; VG-STAT-001,native/systems/stats/implement-the-reference-damage-breakdown.hpp ; native/tests/roadmap/stat-002_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-STAT-003,Consume one resistance channel,STAT,Systems engineer,G2,P1,DRAFT,B,Apply a declared elemental resistance and approved cap,"Zero, positive, capped and invalid resistance cases have pinned results ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Unrelated physical damage is not reduced by an elemental resistance,VG-GOV-001 ; VG-STAT-002,native/systems/stats/consume-one-resistance-channel.hpp ; native/tests/roadmap/stat-003_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-STAT-004,Make defensive equipment effective,STAT,Systems engineer,G2,P1,DRAFT,B,Feed one equipment defense or block property into the resolver,"Swapping the test item changes survivability by the authored rule ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A tooltip-only defensive bonus is not counted as implemented,VG-GOV-001 ; VG-STAT-002 ; VG-ITEM-004,native/systems/stats/make-defensive-equipment-effective.hpp ; native/tests/roadmap/stat-004_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-STAT-005,Generalize timed effects,STAT,Systems engineer,G2,P1,DRAFT,B,Replace one hard-coded buff with a typed effect instance,"Two simultaneous effects expire in deterministic order with defined stacking ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Expired effects never survive a lifecycle boundary accidentally,VG-GOV-001 ; VG-CORE-003 ; VG-STAT-001,native/systems/stats/generalize-timed-effects.hpp ; native/tests/roadmap/stat-005_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-STAT-006,Add bounded stagger accumulation,STAT,Systems engineer,G2,P1,DRAFT,B,Implement one approved poise/stagger rule for players and enemies,"Threshold, decay and immunity-window fixtures use common actor rules ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Repeated weak hits cannot create an unbounded permanent lock,VG-GOV-001 ; VG-STAT-005 ; VG-GOV-007,native/systems/stats/add-bounded-stagger-accumulation.hpp ; native/tests/roadmap/stat-006_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-STAT-007,Bound proc chains and conversion,STAT,Systems engineer,G3,P1,DRAFT,B,Enforce max depth and per-tick effect work for triggered interactions,"A cyclic trigger fixture terminates with deterministic rejection or truncation ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A proc loop cannot stall the authoritative tick,VG-GOV-001 ; VG-STAT-005 ; VG-BUILD-002,native/systems/stats/bound-proc-chains-and-conversion.hpp ; native/tests/roadmap/stat-007_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-STAT-008,Explain live character totals,STAT,Systems engineer,G3,P1,DRAFT,B,Feed one stat-breakdown view directly from derived authoritative values,"Displayed and applied damage/defense match an integration fixture ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Displayed DPS does not include dormant or unsupported modifiers,VG-GOV-001 ; VG-STAT-003 ; VG-STAT-004 ; VG-UI-004,native/systems/stats/explain-live-character-totals.hpp ; native/tests/roadmap/stat-008_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-BUILD-001,Freeze three slice build fixtures,BUILD,Systems designer / gameplay engineer,G1,P0,DRAFT,B,"Define distinct reach, pressure and magic build configurations","Each build lists tactics, weakness, gear dependency and expected encounter answers ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Three differently colored copies of one damage loop fail design review,VG-GOV-001 ; VG-GOV-007 ; VG-STAT-001,native/systems/builds/freeze-three-slice-build-fixtures.hpp ; native/tests/roadmap/build-001_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,
VG-BUILD-002,Define skill-transform compatibility,BUILD,Systems designer / gameplay engineer,G2,P1,DRAFT,B,Specify allowed action tags and exclusions for one bounded support layer,"Compatible and incompatible transformations validate without runtime guessing ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",An unsupported transformation never consumes resources silently,VG-GOV-001 ; VG-ACT-001 ; VG-BUILD-001,native/systems/builds/define-skill-transform-compatibility.hpp ; native/tests/roadmap/build-002_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,
VG-BUILD-003,Implement one shape-changing transform,BUILD,Systems designer / gameplay engineer,G2,P1,DRAFT,B,Add one approved support that changes hit form rather than only damage,"With and without the transform show distinct target geometry and cost ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Removing the transform restores the original event stream,VG-GOV-001 ; VG-BUILD-002 ; VG-ACT-003,native/systems/builds/implement-one-shape-changing-transform.hpp ; native/tests/roadmap/build-003_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,
VG-BUILD-004,Integrate passive allocation validation,BUILD,Systems designer / gameplay engineer,G2,P1,DRAFT,B,"Connect budget, adjacency and respec validation to canonical profile state","Valid allocation survives restart and invalid allocation leaves state untouched ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",UI-local point spending cannot change authoritative actor stats,VG-GOV-001 ; VG-CORE-004 ; VG-SAVE-003 ; VG-STAT-001,native/systems/builds/integrate-passive-allocation-validation.hpp ; native/tests/roadmap/build-004_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,TASK-0162 ; TASK-0193 ; TASK-0194
VG-BUILD-005,Validate bounded Arcane paths,BUILD,Systems designer / gameplay engineer,G2,P1,DRAFT,B,Reuse the reference lattice topology for a limited approved native subset,"Invalid adjacency, disallowed tier and cyclic paths fail with readable errors ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A reference UI path is not assumed to be an implemented spell,VG-GOV-001 ; VG-GOV-004 ; VG-BUILD-002,native/systems/builds/validate-bounded-arcane-paths.hpp ; native/tests/roadmap/build-005_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,TASK-0195 ; TASK-0196
VG-BUILD-006,Compile one Arcane path to an effect plan,BUILD,Systems designer / gameplay engineer,G3,P1,DRAFT,B,Translate one approved weave into existing action/effect primitives,"Plan includes resource, timing, work budget and deterministic outcome ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Unknown manifestations fail closed rather than inventing behavior,VG-GOV-001 ; VG-BUILD-005 ; VG-ACT-004 ; VG-STAT-005,native/systems/builds/compile-one-arcane-path-to-an-effect-plan.hpp ; native/tests/roadmap/build-006_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,
VG-BUILD-007,Prevent loadout-swap exploits,BUILD,Systems designer / gameplay engineer,G3,P1,DRAFT,B,Validate equipment/skill swap transitions and resource reservations,"Repeated swaps do not reset costs, duplicate effects or grant free resources ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A cooldown cannot be bypassed by swapping away and back,VG-GOV-001 ; VG-BUILD-003 ; VG-BUILD-004 ; VG-ITEM-004,native/systems/builds/prevent-loadout-swap-exploits.hpp ; native/tests/roadmap/build-007_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,
VG-BUILD-008,Compare three complete build journeys,BUILD,Systems designer / gameplay engineer,G3,P1,DRAFT,B,Run the three approved configurations against the same expedition,"Evidence records different tactics, survivability and completion outcomes ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Completion by one dominant build does not approve all three,VG-GOV-001 ; VG-BUILD-006 ; VG-BUILD-007 ; VG-ENEMY-007 ; VG-QA-004,native/systems/builds/compare-three-complete-build-journeys.hpp ; native/tests/roadmap/build-008_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,
VG-ITEM-001,Freeze canonical item ownership,ITEM,Item systems engineer,G1,P0,DRAFT,B,"Separate definition, instance ID, roll seed, location and owner","Each live item has exactly one valid owner/location and a stable identity ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Two containers cannot own the same instance simultaneously,VG-GOV-001 ; VG-CORE-002 ; VG-GOV-004,native/systems/items/freeze-canonical-item-ownership.hpp ; native/tests/roadmap/item-001_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-ITEM-002,Validate base and modifier definitions,ITEM,Item systems engineer,G1,P0,DRAFT,B,Add schema checks for one item family and affix group rules,"Valid definitions cook; unknown stats and conflicting groups fail ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A display-only mod cannot claim a gameplay effect without a binding,VG-GOV-001 ; VG-ITEM-001 ; VG-STAT-001 ; VG-TOOLS-001,native/systems/items/validate-base-and-modifier-definitions.hpp ; native/tests/roadmap/item-002_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
